TERM,TOTALCOLLECTIONFREQ
Category,4387161
category,3365663
external,2442787
year,1788961
include,1618767
people,1604810
birth,1603361
bear,1484956
live,1466473
time,1409802
know,1267309
work,1187725
United,1167738
New,1091084
later,1075492
place,1053077
follow,1039882
reference,1033326
early,1024269
member,1006766
play,1001414
take,993450
american,985985
list,980165
new,962405
death,952767
family,934632
University,919274
second,912943
base,911709
States,906532
century,888492
state,877409
National,864969
lead,864252
end,856480
name,845437
March,842724
September,841474
June,837361
World,829889
live_people,829735
begin,828420
hold,825336
January,824482
October,821842
July,817097
call,815023
history,813733
April,812061
high,811956
serve,811210
August,807067
find,805940
People,802695
win,801220
November,781995
area,774058
establish,772643
December,770850
number,770498
leave,759877
day,753924
form,753897
John,751926
give,751333
come,746333
start,737983
large,727822
February,726629
die,710978
write,710437
receive,708201
locate,703880
County,702326
long,695748
life,684638
result,684155
release,666908
team,666757
go,664143
record,662405
link,658696
de,658305
group,653165
feature,644720
describe,642785
official,642405
run,642351
man,629569
create,629214
return,629055
old,624146
United_States,623231
good,622898
player,620748
small,619757
use,618700
center,613241
build,607292
