TERM,TOTALCOLLECTIONFREQ
Category,4387161
category,3365663
external,2442787
year,1788961
include,1618767
people,1604810
birth,1603361
bear,1484956
live,1466473
time,1409802
know,1267309
work,1187725
later,1075492
place,1053077
follow,1039882
reference,1033326
early,1024269
member,1006766
play,1001414
take,993450
american,985985
list,980165
new,962405
death,952767
family,934632
second,912943
base,911709
century,888492
state,877409
lead,864252
end,856480
name,845437
World,829889
live_people,829735
begin,828420
hold,825336
call,815023
history,813733
high,811956
serve,811210
find,805940
People,802695
win,801220
area,774058
establish,772643
number,770498
leave,759877
day,753924
form,753897
give,751333
come,746333
start,737983
large,727822
die,710978
write,710437
receive,708201
locate,703880
long,695748
life,684638
result,684155
release,666908
team,666757
go,664143
record,662405
link,658696
de,658305
group,653165
feature,644720
describe,642785
official,642405
run,642351
man,629569
create,629214
return,629055
old,624146
good,622898
player,620748
small,619757
use,618700
center,613241
build,607292
refer,606838
open,603254
home,602796
move,600894
like,600763
set,598951
remain,598013
title,592587
produce,572382
school,565454
continue,555645
present,555485
event,554731
city,553268
join,549358
change,548069
season,545872
series,544130
complete,543931
provide,542220
country,541199
single,538863
late,529807
film,529256
local,529165
career,527636
child,526272
publish,526000
appear,523825
support,523437
right,523374
study,522544
woman,521237
position,520391
note,518451
near,518276
show,517060
order,516682
line,515442
State,512751
age,512445
website,505707
point,500999
service,496027
see,494147
male,492926
date,490294
main,489955
public,488913
way,486179
village,484955
world,484952
final,484555
major,483545
total,483407
close,483339
original,481801
accord,477245
say,476844
company,471971
south,471248
population,470227
national,467870
book,467587
son,467536
align,465322
award,464235
make,463893
head,460833
found,457481
West,455349
site,455078
system,453494
great,448103
help,446521
town,446469
building,444672
government,439402
represent,436686
language,436506
develop,433525
north,433101
music,432893
role,431846
cover,431090
establishment,429441
english,428480
direct,428205
house,427265
district,426151
design,425721
different,425172
short,423388
allow,421312
level,419209
consider,417820
lose,417133
british,415399
issue,414510
young,413995
period,410554
international,408900
non,406981
month,405980
term,403032
League,402837
game,401809
reach,401568
England,400482
contain,398854
force,396574
report,394653
community,392804
turn,391627
class,389499
sign,389377
mean,387628
general,387161
bring,386234
father,384610
low,383957
debut,382858
professional,382627
well,382358
originally,377499
